streetLabel	personLabel	genderLabel	coordinate	postalCode
Arndtstraße	Ernst Moritz Arndt	männlich	Point(13.773429 51.068022)	01099
Louis-Braille-Straße	Louis Braille	männlich	Point(13.773708 51.068286)	01099
Marienallee	Maria Anna von Portugal	weiblich	Point(13.766196 51.073957)	01099
Arno-Holz-Allee	Arno Holz	männlich	Point(13.766793 51.071709)	01099
Nieritzstraße	Karl Gustav Nieritz	männlich	Point(13.741466 51.062148)	01097
Theresienstraße	Maria Theresia von Österreich	weiblich	Point(13.742361 51.062808)	01097
Heinrichstraße	Heinrich der Fromme	männlich	Point(13.740617 51.059864)	01097
Carolinenstraße	Karoline Ferdinande von Österreich	weiblich	Point(13.744284 51.063634)	01097
Hartigstraße	Karl Ernst Hartig	männlich	Point(13.72861 51.072401)	01127
Gehestraße	Franz Ludwig Gehe	männlich	Point(13.730346 51.073585)	01127
Hedwigstraße	Hedwig von Dänemark	weiblich	Point(13.735355 51.063756)	01097
Händelallee	Georg Friedrich Händel	männlich	Point(13.787394 51.056762)	01309
Gerokstraße	Karl von Gerok	männlich	Point(13.763821 51.053141)	01307
Hans-Grundig-Straße	Hans Grundig	männlich	Point(13.761469 51.051538)	01307
Heinrich-Schütz-Straße	Heinrich Schütz	männlich	Point(13.81149 51.04606)	01277
Sebastian-Bach-Straße	Johann Sebastian Bach	männlich	Point(13.792166 51.056359)	01277
Reinhold-Becker-Straße	Reinhold Becker	männlich	Point(13.807708 51.048492)	01277
Oehmestraße	Ernst Erwin Oehme	männlich	Point(13.807708 51.048492)	01277
Liststraße	Friedrich List	männlich	Point(13.731806 51.076359)	01127
Harkortstraße	Gustav Harkort	männlich	Point(13.731457 51.077237)	01127
Gustav-Freytag-Straße	Gustav Freytag	männlich	Point(13.810094 51.043943)	01277
Traubestraße	Joseph Traube	männlich	Point(13.807536 51.039836)	01277
Scariastraße	Emil Scaria	männlich	Point(13.808898 51.043659)	01277
Schaufußstraße	Ludwig Wilhelm Schaufuß	männlich	Point(13.812156 51.039653)	01277
Simrockstraße	Karl Simrock	männlich	Point(13.812675 51.044181)	01277
Spohrstraße	Louis Spohr	männlich	Point(13.813775 51.046138)	01277
Ludwig-Hartmann-Straße	Ludwig Hartmann	männlich	Point(13.812282 51.04125)	01277
