streetLabel	personLabel	genderLabel	occupationLabel	coordinate	postalCode
Galileistraße	Galileo Galilei	männlich	Wissenschaftler	Point(13.709214 51.097461)	01129
Galileistraße	Galileo Galilei	männlich	Astronom	Point(13.709214 51.097461)	01129
Galileistraße	Galileo Galilei	männlich	Ingenieur	Point(13.709214 51.097461)	01129
Galileistraße	Galileo Galilei	männlich	Astrologe	Point(13.709214 51.097461)	01129
Galileistraße	Galileo Galilei	männlich	Physiker	Point(13.709214 51.097461)	01129
Galileistraße	Galileo Galilei	männlich	Mathematiker	Point(13.709214 51.097461)	01129
Galileistraße	Galileo Galilei	männlich	Erfinder	Point(13.709214 51.097461)	01129
Galileistraße	Galileo Galilei	männlich	Universalgelehrter	Point(13.709214 51.097461)	01129
Galileistraße	Galileo Galilei	männlich	Hochschullehrer	Point(13.709214 51.097461)	01129
Galileistraße	Galileo Galilei	männlich	Philosoph	Point(13.709214 51.097461)	01129
Kopernikusstraße	Nikolaus Kopernikus	männlich	Astronom	Point(13.710944 51.091806)	01129
Kopernikusstraße	Nikolaus Kopernikus	männlich	Schriftsteller	Point(13.710944 51.091806)	01129
Kopernikusstraße	Nikolaus Kopernikus	männlich	Arzt	Point(13.710944 51.091806)	01129
Kopernikusstraße	Nikolaus Kopernikus	männlich	Physiker	Point(13.710944 51.091806)	01129
Kopernikusstraße	Nikolaus Kopernikus	männlich	Mathematiker	Point(13.710944 51.091806)	01129
Kopernikusstraße	Nikolaus Kopernikus	männlich	Jurist	Point(13.710944 51.091806)	01129
Kopernikusstraße	Nikolaus Kopernikus	männlich	Wirtschaftswissenschaftler	Point(13.710944 51.091806)	01129
Kopernikusstraße	Nikolaus Kopernikus	männlich	Diplomat	Point(13.710944 51.091806)	01129
Kopernikusstraße	Nikolaus Kopernikus	männlich	Übersetzer	Point(13.710944 51.091806)	01129
Kopernikusstraße	Nikolaus Kopernikus	männlich	Philosoph	Point(13.710944 51.091806)	01129
Kopernikusstraße	Nikolaus Kopernikus	männlich	Rechtswissenschaftler	Point(13.710944 51.091806)	01129
Alexander-Puschkin-Platz	Alexander Sergejewitsch Puschkin	männlich	Schriftsteller	Point(13.729355 51.070474)	01127
Alexander-Puschkin-Platz	Alexander Sergejewitsch Puschkin	männlich	Dichter	Point(13.729355 51.070474)	01127
Alexander-Puschkin-Platz	Alexander Sergejewitsch Puschkin	männlich	Historiker	Point(13.729355 51.070474)	01127
Alexander-Puschkin-Platz	Alexander Sergejewitsch Puschkin	männlich	Dramatiker	Point(13.729355 51.070474)	01127
Alexander-Puschkin-Platz	Alexander Sergejewitsch Puschkin	männlich	Übersetzer	Point(13.729355 51.070474)	01127
Alexander-Puschkin-Platz	Alexander Sergejewitsch Puschkin	männlich	Dramaturg	Point(13.729355 51.070474)	01127
Alexander-Puschkin-Platz	Alexander Sergejewitsch Puschkin	männlich	Literaturkritiker	Point(13.729355 51.070474)	01127
Alexander-Puschkin-Platz	Alexander Sergejewitsch Puschkin	männlich	Kinderbuchautor	Point(13.729355 51.070474)	01127
Alexander-Puschkin-Platz	Alexander Sergejewitsch Puschkin	männlich	Publizist	Point(13.729355 51.070474)	01127
Alexander-Puschkin-Platz	Alexander Sergejewitsch Puschkin	männlich	Romancier	Point(13.729355 51.070474)	01127
Alexander-Puschkin-Platz	Alexander Sergejewitsch Puschkin	männlich	Librettist	Point(13.729355 51.070474)	01127
Alexander-Puschkin-Platz	Alexander Sergejewitsch Puschkin	männlich	Essayist	Point(13.729355 51.070474)	01127
Alexander-Puschkin-Platz	Alexander Sergejewitsch Puschkin	männlich	Prosaist	Point(13.729355 51.070474)	01127
Alexander-Puschkin-Platz	Alexander Sergejewitsch Puschkin	männlich	Haudegen	Point(13.729355 51.070474)	01127
Alexander-Puschkin-Platz	Alexander Sergejewitsch Puschkin	männlich	Buchsammler	Point(13.729355 51.070474)	01127
Eulerstraße	Leonhard Euler	männlich	Wissenschaftler	Point(13.70501 51.096573)	01129
Eulerstraße	Leonhard Euler	männlich	Astronom	Point(13.70501 51.096573)	01129
Eulerstraße	Leonhard Euler	männlich	Schriftsteller	Point(13.70501 51.096573)	01129
Eulerstraße	Leonhard Euler	männlich	Physiker	Point(13.70501 51.096573)	01129
Eulerstraße	Leonhard Euler	männlich	Mathematiker	Point(13.70501 51.096573)	01129
Eulerstraße	Leonhard Euler	männlich	Erfinder	Point(13.70501 51.096573)	01129
Eulerstraße	Leonhard Euler	männlich	Hochschullehrer	Point(13.70501 51.096573)	01129
Eulerstraße	Leonhard Euler	männlich	Musiktheoretiker	Point(13.70501 51.096573)	01129
Eulerstraße	Leonhard Euler	männlich	Führungskraft	Point(13.70501 51.096573)	01129
Bolivarstraße	Simón Bolívar	männlich	Politiker	Point(13.722351 51.09412)	01129
Bolivarstraße	Simón Bolívar	männlich	Offizier	Point(13.722351 51.09412)	01129
Gutenbergstraße	Johannes Gutenberg	männlich	Ingenieur	Point(13.769605 51.058009)	01307
Gutenbergstraße	Johannes Gutenberg	männlich	Erfinder	Point(13.769605 51.058009)	01307
Gutenbergstraße	Johannes Gutenberg	männlich	Goldschmied	Point(13.769605 51.058009)	01307
Gutenbergstraße	Johannes Gutenberg	männlich	Graveur	Point(13.769605 51.058009)	01307
Gutenbergstraße	Johannes Gutenberg	männlich	Typograf	Point(13.769605 51.058009)	01307
Gutenbergstraße	Johannes Gutenberg	männlich	Münzmeister	Point(13.769605 51.058009)	01307
Gutenbergstraße	Johannes Gutenberg	männlich	Schmied	Point(13.769605 51.058009)	01307
Maxim-Gorki-Straße	Maxim Gorki	männlich	Schriftsteller	Point(13.729981 51.089055)	01127
Maxim-Gorki-Straße	Maxim Gorki	männlich	Schriftsteller	Point(13.729981 51.089055)	01129
Maxim-Gorki-Straße	Maxim Gorki	männlich	Dichter	Point(13.729981 51.089055)	01127
Maxim-Gorki-Straße	Maxim Gorki	männlich	Dichter	Point(13.729981 51.089055)	01129
Maxim-Gorki-Straße	Maxim Gorki	männlich	Politiker	Point(13.729981 51.089055)	01127
Maxim-Gorki-Straße	Maxim Gorki	männlich	Politiker	Point(13.729981 51.089055)	01129
Maxim-Gorki-Straße	Maxim Gorki	männlich	Dramatiker	Point(13.729981 51.089055)	01127
Maxim-Gorki-Straße	Maxim Gorki	männlich	Dramatiker	Point(13.729981 51.089055)	01129
Maxim-Gorki-Straße	Maxim Gorki	männlich	Dramaturg	Point(13.729981 51.089055)	01127
Maxim-Gorki-Straße	Maxim Gorki	männlich	Dramaturg	Point(13.729981 51.089055)	01129
Maxim-Gorki-Straße	Maxim Gorki	männlich	Journalist	Point(13.729981 51.089055)	01127
Maxim-Gorki-Straße	Maxim Gorki	männlich	Journalist	Point(13.729981 51.089055)	01129
Maxim-Gorki-Straße	Maxim Gorki	männlich	Publizist	Point(13.729981 51.089055)	01127
Maxim-Gorki-Straße	Maxim Gorki	männlich	Publizist	Point(13.729981 51.089055)	01129
Maxim-Gorki-Straße	Maxim Gorki	männlich	Romancier	Point(13.729981 51.089055)	01127
Maxim-Gorki-Straße	Maxim Gorki	männlich	Romancier	Point(13.729981 51.089055)	01129
Maxim-Gorki-Straße	Maxim Gorki	männlich	Autobiograf	Point(13.729981 51.089055)	01127
Maxim-Gorki-Straße	Maxim Gorki	männlich	Autobiograf	Point(13.729981 51.089055)	01129
Maxim-Gorki-Straße	Maxim Gorki	männlich	Tagebuchschreiber	Point(13.729981 51.089055)	01127
Maxim-Gorki-Straße	Maxim Gorki	männlich	Tagebuchschreiber	Point(13.729981 51.089055)	01129
Hans-Sachs-Straße	Hans Sachs	männlich	Schauspieler	Point(13.727215 51.087356)	01129
Hans-Sachs-Straße	Hans Sachs	männlich	Schriftsteller	Point(13.727215 51.087356)	01129
Hans-Sachs-Straße	Hans Sachs	männlich	Komponist	Point(13.727215 51.087356)	01129
Hans-Sachs-Straße	Hans Sachs	männlich	Dichter	Point(13.727215 51.087356)	01129
Hans-Sachs-Straße	Hans Sachs	männlich	Sänger	Point(13.727215 51.087356)	01129
Hans-Sachs-Straße	Hans Sachs	männlich	Dramatiker	Point(13.727215 51.087356)	01129
Brehmweg	Christian Ludwig Brehm	männlich	Pastor	Point(13.706437 51.092652)	01129
Brehmweg	Christian Ludwig Brehm	männlich	Ornithologe	Point(13.706437 51.092652)	01129
Brehmweg	Christian Ludwig Brehm	männlich	Sammler zoologischer Objekte	Point(13.706437 51.092652)	01129
Kleiststraße	Heinrich von Kleist	männlich	Schriftsteller	Point(13.727374 51.086368)	01129
Kleiststraße	Heinrich von Kleist	männlich	Dichter	Point(13.727374 51.086368)	01129
Kleiststraße	Heinrich von Kleist	männlich	Dramatiker	Point(13.727374 51.086368)	01129
Kleiststraße	Heinrich von Kleist	männlich	Dichterjurist	Point(13.727374 51.086368)	01129
Kleiststraße	Heinrich von Kleist	männlich	Publizist	Point(13.727374 51.086368)	01129
Kleiststraße	Heinrich von Kleist	männlich	Romancier	Point(13.727374 51.086368)	01129
Kleiststraße	Heinrich von Kleist	männlich	Kurzgeschichtenautor	Point(13.727374 51.086368)	01129
Benzstraße	Carl Benz	männlich	Ingenieur	Point(13.706121 51.092892)	01129
Benzstraße	Carl Benz	männlich	Erfinder	Point(13.706121 51.092892)	01129
Fraunhoferstraße	Joseph von Fraunhofer	männlich	Astronom	Point(13.705467 51.092649)	01129
Fraunhoferstraße	Joseph von Fraunhofer	männlich	Physiker	Point(13.705467 51.092649)	01129
Fraunhoferstraße	Joseph von Fraunhofer	männlich	Chemiker	Point(13.705467 51.092649)	01129
Halleystraße	Edmond Halley	männlich	Astronom	Point(13.708405 51.092663)	01129
Halleystraße	Edmond Halley	männlich	Physiker	Point(13.708405 51.092663)	01129
Halleystraße	Edmond Halley	männlich	Mathematiker	Point(13.708405 51.092663)	01129
Halleystraße	Edmond Halley	männlich	Klimatologe	Point(13.708405 51.092663)	01129
